#,Title,Authors,Year,Journal,DOI,Tier,Source
405,The gaps unaddressed in competency-based medical education (CBME) curriculum,S. A; S. Anbazhagan; D. Suryawanshi,2022,Research and Development in Medical Education,10.34172/rdme.2022.020,tier1,semantic_scholar
406,The health digital twin to tackle cardiovascular disease—a review of an emerging interdisciplinary field,Genevieve Coorey; Gemma A. Figtree; David F. Fletcher; Victoria J. Snelson; Stephen T. Vernon et al.,2022,npj Digital Medicine,10.1038/s41746-022-00640-7,tier2,openalex
407,The medical profession transformed by artificial intelligence: Qualitative study.,Mosch L; Fürstenau D; Brandt J; Wagnitz J; Klopfenstein SA et al.,2022,,10.1177/20552076221143903,tier3,europepmc
408,The newborn delivery room of tomorrow: emerging and future technologies,Natalie Batey; Caroline Henry; Shalabh Garg; M. Wagner; Anil K. Malhotra et al.,2022,Pediatric Research,10.1038/s41390-022-01988-y,tier2,openalex
409,The paradigm and future value of the metaverse for the intervention of cognitive decline.,Zhou H; Gao JY; Chen Y,2022,,10.3389/fpubh.2022.1016680,tier2,europepmc
410,The potential of artificial intelligence as an equalizer of gender disparity in surgical training and education,Valentina Mari; Gaya Spolverato; Linda Ferrari,2022,Artificial Intelligence Surgery,10.20517/ais.2022.12,tier3,crossref
411,The role of artificial intelligence and big data in health sciences research: Review of advances and educational perspectives,Carlos Alberto Gómez Cano,2022,Seminars in Medical Writing and Education,10.56294/mw202271,tier2,semantic_scholar
412,The role of artificial intelligence in surgical simulation,Jay J. Park; Jakov Tiefenbach; Andreas K. Demetriades,2022,Frontiers in Medical Technology,10.3389/fmedt.2022.1076755,tier2,openalex
413,The use and future perspective of Artificial Intelligence-A survey among German surgeons.,Pecqueux M; Riediger C; Distler M; Oehme F; Bork U et al.,2022,,10.3389/fpubh.2022.982335,tier2,europepmc
414,The use of artificial intelligence and virtual reality in doctor-patient risk communication: A scoping review,Ryan Antel; Samira Abbasgholizadeh-Rahimi; Elena Guadagno; Jason M. Harley; Dan Poenaru,2022,Patient Education and Counseling,10.1016/j.pec.2022.06.006,tier3,crossref
415,"Threat Modelling for Artificial Intelligence Governance, Integrating Ethical Considerations into Adversarial Attack Simulations for Critical Infrastructure using Generative AI",M. Umakor,2022,World Journal of Advanced Research and Reviews,10.30574/wjarr.2022.15.2.0829,tier3,semantic_scholar
416,Three-dimensional visualization and virtual reality simulation role in hepatic surgery: Further research warranted.,Ahmed F; Jahagirdar V; Gudapati S; Mouchli M,2022,,10.4240/wjgs.v14.i7.723,tier3,europepmc
417,Training in robotic pancreatic surgery,,2022,Artificial Intelligence Surgery,10.20517/ais.2022.28,tier2,crossref
418,Trends in artificial intelligence in nursing: Impacts on nursing management.,Chang CY; Jen HJ; Su WS,2022,,10.1111/jonm.13770,tier1,europepmc
419,Turning any bed into an intensive care unit with the Internet of things and artificial intelligence technology. Presenting the enhanced mechanical ventilator.,Pulido Morales LL; Buitrago Romero JS; Ardila Sanchez IA; Yepes-Calderon F,2022,,10.12688/f1000research.127647.1,tier2,europepmc
420,Understanding Medical Students' Perceptions of and Behavioral Intentions toward Learning Artificial Intelligence: A Survey Study.,Li X; Jiang MY; Jong MS; Zhang X; Chai CS,2022,,10.3390/ijerph19148733,tier1,europepmc
421,Usage of artificial intelligence and virtual reality in medical studies,Ambreen Usmani; Manal Imran; Quratulain Javaid,2022,Pakistan Journal of Medical Sciences,10.12669/pjms.38.4.5910,tier2,openalex
422,Using Artificial Intelligence for Optimization of the Processes and Resource Utilization in Radiotherapy.,Krishnamurthy R; Mummudi N; Goda JS; Chopra S; Heijmen B et al.,2022,,10.1200/go.21.00393,tier1,europepmc
423,Using Artificial Intelligence for Predicting the Duration of Emergency Evacuation During Hospital Fire.,Sahebi A; Jahangiri K; Alibabaei A; Khorasani-Zavareh D,2022,,10.1017/dmp.2022.187,tier2,europepmc
424,Using a Virtual Patient via an Artificial Intelligence Chatbot to Develop Dental Students’ Diagnostic Skills,Ana Suárez; Alberto Adanero; Víctor Díaz-Flores García; Yolanda Freire; Juan Algar,2022,International Journal of Environmental Research and Public Health,10.3390/ijerph19148735,tier2,crossref
425,"Virtual Patient Diagnosis and Treatment, Networked Medical Devices, and Artificial Intelligence-based Diagnostic Algorithms in the Healthcare Metaverse and Immersive 3D Worlds",,2022,American Journal of Medical Research,10.22381/ajmr92202210,tier2,crossref
426,"Virtual Reality, Robotics, and Artificial Intelligence",Aditya Kanade; Mansi Sharma; Muniyandi Manivannan,2022,Advances in Medical Technologies and Clinical Practice,10.4018/978-1-6684-3533-5.ch005,tier2,crossref
427,Virtualized Gamified Pharmacy Simulation during COVID-19,Denise L Hope; Gary Grant; Gary David Rogers; Michelle A. King,2022,Pharmacy,10.3390/pharmacy10020041,tier3,openalex
428,Visualization and Interaction Technologies in Serious and Exergames for Cognitive Assessment and Training: A Survey on Available Solutions and Their Validation,Chiara Bassano; Manuela Chessa; Fabio Solari,2022,IEEE Access,10.1109/access.2022.3210562,tier2,openalex
429,"What the Literature on Medicine, Nursing, Public Health, Midwifery, and Dentistry Reveals: An Overview of the Rapidly Approaching Metaverse",Muhammet Damar,2022,Journal of Metaverse,10.57019/jmv.1132962,tier2,openalex
430,Yapay Zekâ ve Hemşirelik,Ayşe Akgerman; Ezgi Dilan Özdemir Yavuz; İbrahim Kavaslar; Serkan Güngör,2022,Journal of Artificial Intelligence in Health Sciences,10.52309/jaihs.v2i1.36,tier1,semantic_scholar
431,“Technology Proficiency” in Medical Education: Worthiness for Worldwide Wonderful Competency and Sophistication,Sunil Jain; Bhagya Kamal Jain; Prem Kamal Jain; Vishal Marwaha,2022,Advances in Medical Education and Practice,10.2147/amep.s378917,tier1,openalex
432,"""CHATGPT HITTING THE SKY: A SOCIAL NETWORK ANALYSIS ON TWITTER: Retrospective "" (Preprint)",Shazia Iqbal; Shahzad Ahmed; Mohd Ali Samsudin; Saood Khan Lodhi; Zainab Rizvi et al.,2023,,10.2196/preprints.52787,tier1,openalex
433,"""ChatGPT’s Role In Healthcare Education, Research, And Practice: A Systematic Review Of Promising Prospects And Legitimate Concerns""",Aryendra Dalal; Utkarsh Venaik; Rinki Kumari; Anita Venaik,2023,,10.53555/kuey.v29i1.6478,tier1,openalex
434,"""Do Anything Now"": Characterizing and Evaluating In-The-Wild Jailbreak Prompts on Large Language Models",Xinyue Shen; Zeyuan Chen; Michael Backes; Yun Shen; Yang Zhang,2023,arXiv (Cornell University),10.48550/arxiv.2308.03825,,openalex
435,#242 Designing a clinical trial with chat generative pre-trained transformer (ChatGPT) on the role of hyperthermic intraperitoneal chemotherapy (HIPEC) in ovarian cancer,Esra Bilir; İlker Kahramanoğlu,2023,,10.1136/ijgc-2023-esgo.541,tier1,openalex
436,102. Assessing ChatGPT Performance in the Brazilian Infectious Disease Specialist Certification Examination,Alexandre Chaves Fernandes; Maria Eduarda Varela Cavalcanti Souto; Thaís Barros Felippe Jabour; Kléber Giovanni Luz; Eveline Pı́polo Milan,2023,Open Forum Infectious Diseases,10.1093/ofid/ofad500.018,tier1,openalex
437,2378. Use of Natural Language Processing to Extract Published Real World Data on a COVID Vaccine and Antiviral Treatment,Anupama Raghuram; Anna E. Ssentongo; Lenon Mendes Pereira; Yuting Kuang; Jennifer Uyei et al.,2023,Open Forum Infectious Diseases,10.1093/ofid/ofad500.1999,tier1,openalex
438,6 Challenges and the future of artificial intelligence in virtual reality in healthcare,Sunishtha S. Yadav; Vandana Chauhan; Nishi Arora; Vijeta Singh; Jayant Verma,2023,Artificial Intelligence for Virtual Reality,10.1515/9783110713817-006,tier2,crossref
439,762. Conversations that Matter: Developing an AI-Based Training Algorithm to Improve Provider Competence to Work with SGM Youth,,2023,,10.1093/ofid/ofad500.823,tier3,europepmc
440,8 Merging of artificial intelligence (AI) with virtual reality (VR) in healthcare,Shubham Sharma; Naincy Chamoli,2023,Artificial Intelligence for Virtual Reality,10.1515/9783110713817-008,tier2,crossref
441,<scp>ChatGPT</scp> in transfusion medicine: A new frontier for patients?,Laura D. Stephens,2023,Transfusion,10.1111/trf.17385,tier1,openalex
442,"<scp>ChatGPT</scp>, authorship, and medical publishing",Amnuay Kleebayoon; Viroj Wiwanitkit,2023,ACR Open Rheumatology,10.1002/acr2.11583,tier1,openalex
443,"<scp>ChatGPT</scp>, et al … Artificial Intelligence, Authorship, and Medical Publishing",Daniel H. Solomon; Kelli D. Allen; Patricia Katz; Amr H. Sawalha; Ed Yelin,2023,ACR Open Rheumatology,10.1002/acr2.11538,tier2,openalex
444,<scp>ChatGTP</scp>: What is it and how can nursing and health science education use it?,Mandy M. Archibald; Alexander M. Clark,2023,Journal of Advanced Nursing,10.1111/jan.15643,tier3,openalex
445,A Call for Guidelines and Regulatory Body in Adopting Artificial Intelligence for Plastic Surgeons,Yasser Farid,2023,Plastic & Reconstructive Surgery Global Open,10.1097/gox.0000000000005340,tier1,openalex
446,A Case Study Demonstrating Applications of ChatGPT in the Clinical Management of Treatment-Resistant Schizophrenia,Pearl Valentine Galido; Saloni Butala; Meg Chakerian; Davin Agustines,2023,Cureus,10.7759/cureus.38166,tier1,openalex
447,"A Comparative Study of Open-Source Large Language Models, GPT-4 and Claude 2: Multiple-Choice Test Taking in Nephrology",Sean M. Wu; Michael Koo; Lesley Blum; Andy Black; Liyo Kao et al.,2023,arXiv (Cornell University),10.48550/arxiv.2308.04709,tier2,openalex
448,A Comprehensive Analysis and Review of Artificial Intelligence in Anaesthesia,Meghna Singhal; Lalit Gupta; Kshitiz Hirani,2023,Cureus,10.7759/cureus.45038,tier2,openalex
449,A Conversation with ChatGPT,Geoffrey Currie,2023,Journal of Nuclear Medicine Technology,10.2967/jnmt.123.265864,tier2,openalex
450,"A Current Review of Machine Learning and Deep Learning Models in Oral Cancer Diagnosis: Recent Technologies, Open Challenges, and Future Research Directions",Shriniket Dixit; Anant Kumar; Kathiravan Srinivasan,2023,Diagnostics,10.3390/diagnostics13071353,tier1,openalex
451,A Foundational Multimodal Vision Language AI Assistant for Human Pathology,Ming Y. Lu; Bowen Chen; Drew F. K. Williamson; Richard J. Chen; Kenji Ikamura et al.,2023,arXiv (Cornell University),10.48550/arxiv.2312.07814,tier1,openalex
452,A Framework for Critically Assessing ChatGPT and Other Large Language Artificial Intelligence Model Applications in Health Care,Jonathan Ilicki,2023,Mayo Clinic Proceedings Digital Health,10.1016/j.mcpdig.2023.03.006,tier1,openalex
453,A Hybrid Mutual Authentication Approach for Artificial Intelligence of Medical Things,Mian Ahmad Jan; Wenjing Zhang; Aamir Akbar; Houbing Song; Rahim Khan et al.,2023,IEEE Internet of Things Journal,10.1109/jiot.2023.3317292,tier3,openalex
454,A Hybrid Stacked CNN and Residual Feedback GMDH-LSTM Deep Learning Model for Stroke Prediction Applied on Mobile AI Smart Hospital Platform,Bassant M. Elbagoury; Luige Vlădăreanu; Victor Vlădăreanu; Abdel Badeeh Salem; Ana-Maria Travediu et al.,2023,Sensors,10.3390/s23073500,tier2,openalex
455,A Large Language Model Screening Tool to Target Patients for Best Practice Alerts: Development and Validation (Preprint),Thomas Savage; John Wang; Lisa Shieh,2023,,10.2196/preprints.49886,tier1,crossref
456,"A Literature Review of the Future of Oral Medicine and Radiology, Oral Pathology, and Oral Surgery in the Hands of Technology",Ishita Singhal; Geetpriya Kaur; Dirk Neefs; Aparna Pathak,2023,Cureus,10.7759/cureus.45804,tier3,openalex
457,A Literature Review on Dental Disease Diagnosis,Pragadheeswaran Ra; S Kanagaraj,2023,International Journal of Advanced Research in Science Communication and Technology,10.48175/ijarsct-11697,tier2,openalex
458,A Medical Image Visualization Technique Assisted with AI-Based Haptic Feedback for Robotic Surgery and Healthcare,Γεώργιος Μινόπουλος; Vasileios A. Memos; Konstantinos D. Stergiou; Christos Stergiou; Kostas E. Psannis,2023,Applied Sciences,10.3390/app13063592,tier2,openalex
459,A Multidimensional Assessment of Generative AI Models in Theoretical and Clinical Nursing Education,Debanjana Prasad; Pratibha Khosla,2023,Seminars in Medical Writing and Education,10.56294/mw2023103,tier1,semantic_scholar
460,A New Artificial Intelligence Approach Using Extreme Learning Machine as the Potentially Effective Model to Predict and Analyze the Diagnosis of Anemia,Dimas Chaerul Ekty Saputra; Khamron Sunat; Tri Ratnaningsih,2023,Healthcare,10.3390/healthcare11050697,tier1,openalex
461,A New Fuzzy Reinforcement Learning Method for Effective Chemotherapy,Fawaz E. Alsaadi; Amirreza Yasami; Christos Volos; Stelios Bekiros; Hadi Jahanshahi,2023,Mathematics,10.3390/math11020477,tier2,openalex
462,A Novel Approach to Nursing Clinical Intelligent Decision-Making: Integration of Large Language Models and Local Knowledge Bases,Liping Xiong; Qiqiao Zeng; Wuhong Deng; Weixiang Luo; Ronghui Liu,2023,Research Square (Research Square),10.21203/rs.3.rs-3756467/v1,tier3,openalex
463,A Novel Evaluation Model for Assessing ChatGPT on Otolaryngology–Head and Neck Surgery Certification Examinations: Performance Study,Cai Long; K. Lowe; Jessica Zhang; André dos Santos; Alaa Alanazi et al.,2023,JMIR Medical Education,10.2196/49970,tier1,openalex
464,"A Review of Biomedical Devices: Classification, Regulatory Guidelines, Human Factors, Software as a Medical Device, and Cybersecurity",Felix Tettey; Santosh Kumar Parupelli; Salil Desai,2023,Biomedical Materials & Devices,10.1007/s44174-023-00113-9,tier1,openalex
465,A Review of Machine Learning Tools in Healthcare: Addressing Challenges and Opportunities,"Chhabra, Parul",2023,Auricle Global Society of Education and Research,,tier1,core
466,"A Review on Explainable Artificial Intelligence Methods, Applications, and Challenges",Belghachi Mohammed,2023,Indonesian Journal of Electrical Engineering and Informatics (IJEEI),10.52549/ijeei.v11i4.5151,tier1,openalex
467,A SYSTEMATIC REVIEW OF AI-ENHANCED DECISION SUPPORT TOOLS IN INFORMATION SYSTEMS: STRATEGIC APPLICATIONS IN SERVICE-ORIENTED ENTERPRISES AND ENTERPRISE PLANNING,Tahmina Akter Rainy; Dipanjan Goswami; Md Masud Karim Rabbi; Abdullah Al Maruf; Abdullah Al Maruf,2023,,10.63125/73djw422,,openalex
468,"A Strengths, Weaknesses, Opportunities, and Threats (SWOT) Analysis of ChatGPT Integration in Nursing Education: A Narrative Review",Ahmad A. Abujaber; Alaa Abd‐Alrazaq; Ahmad R. Al‐Qudimat; Abdulqadir J. Nashwan,2023,Cureus,10.7759/cureus.48643,tier3,openalex
469,"A Survey of Large Language Models in Medicine: Progress, Application, and Challenge",Hongjian Zhou; Boyang Gu; Xinyu Zou; Yiru Li; Sam S. Chen et al.,2023,arXiv (Cornell University),10.48550/arxiv.2311.05112,tier1,openalex
470,"A Survey on Large Language Models: Applications, Challenges, Limitations, and Practical Usage",Muhammad Usman Hadi; qasem al tashi; Rizwan Qureshi; Abbas Shah; Amgad Muneer et al.,2023,,10.36227/techrxiv.23589741.v1,tier2,openalex
471,A Systematic Literature Review on the Applications of Robots and Natural Language Processing in Education,Hussain A. Younis; Nur Intan Raihana Ruhaiyem; Wad Ghaban; Nadhmi A. Gazem; Maged Nasser,2023,Electronics,10.3390/electronics12132864,tier1,openalex
472,A Systematic Review and Meta-Analysis on Chatgpt and its Utilization in Medical and Dental Research,Hiroj Bagde; Ashwini Dhopte; Mohammad Khursheed Alam; Rehana Basri,2023,SSRN Electronic Journal,10.2139/ssrn.4468440,tier1,openalex
473,A Virtual National Diversity Mentoring Initiative to Promote Inclusion in Emergency Medicine.,Carrillo T; Rodriguez LM; Landry A; Alvarez A; Ceniza A et al.,2023,,10.5811/westjem.59666,tier1,europepmc
474,A Virtual Reality Curriculum to Enhance Residents' Behavioral Health Anticipatory Guidance Skills: A Pilot Trial.,Real FJ; Whitehead M; Ollberding NJ; Rosen BL; Meisman A et al.,2023,,10.1016/j.acap.2022.07.011,tier2,europepmc
475,A brief analysis of ChatGPT： historical evolution， current applications， and future prospects,Yuliang Liu; Hongliang Li; Xiang Bai; Lianwen Jin,2023,Journal of Image and Graphics,10.11834/jig.230110,tier2,openalex
476,A chat about actinic keratosis: Examining capabilities and user experience of ChatGPT as a digital health technology in dermato‐oncology,Heather Lent; Vinzent Kevin Ortner; Katrine Karmisholt; Stine Regin Wiegell; C. Nissen et al.,2023,JEADV Clinical Practice,10.1002/jvc2.263,tier1,openalex
477,A clinician's guide to large language models,G. Briganti,2023,Future Medicine AI,10.2217/fmai-2023-0003,tier1,semantic_scholar
478,"A comprehensive survey of ChatGPT: Advancements, applications, prospects, and challenges",Anam Nazir; Ze Wang,2023,Meta-Radiology,10.1016/j.metrad.2023.100022,,openalex
479,A framework for manufacturing system reconfiguration and optimisation utilising digital twins and modular artificial intelligence,Fan Mo; Hamood Ur Rehman; Fabio Marco Monetti; Jack C. Chaplin; David Sanderson et al.,2023,Robotics and Computer-Integrated Manufacturing,10.1016/j.rcim.2022.102524,,openalex
480,A historical perspective of biomedical explainable AI research,Luca Malinverno; Vesna Barros; Francesco Ghisoni; Giovanni Visonà; Roman Kern et al.,2023,Patterns,10.1016/j.patter.2023.100830,tier1,openalex
481,"A holistic approach to remote patient monitoring, fueled by ChatGPT and Metaverse technology: The future of nursing education.",Manik Sharma; Samriti Sharma,2023,Nurse education today,10.1016/j.nedt.2023.105972,tier2,pubmed
482,A multidisciplinary assessment of ChatGPT’s knowledge of amyloidosis,Ryan C. King; Jamil S. Samaan; Yee Hui Yeo; David C. Kunkel; Ali A. Habib et al.,2023,,10.1101/2023.07.17.23292780,tier1,openalex
483,A pilot study of the use of artificial intelligence with high-fidelity simulations in assessing endovascular procedural competence independent of a human examiner.,Erin C Saricilar; Annette Burgess; Anthony Freeman,2023,ANZ journal of surgery,10.1111/ans.18484,tier3,pubmed
484,A practical guide to the implementation of AI in orthopaedic research – part 1: opportunities in clinical application and overcoming existing challenges,Bálint Zsidai; Ann‐Sophie Hilkert; Janina Kaarre; Eric Narup; Eric Hamrin Senorski et al.,2023,Journal of Experimental Orthopaedics,10.1186/s40634-023-00683-z,tier1,openalex
485,A reinforcement learning model for AI-based decision support in skin cancer,Catarina Barata; Veronica Rotemberg; Noel Codella; Philipp Tschandl; Claus Rinner et al.,2023,Nature Medicine,10.1038/s41591-023-02475-5,tier2,openalex
486,A smarter perspective: Learning with and from AI-cases.,Ossa LA; Rost M; Lorenzini G; Shaw DM; Elger BS,2023,,10.1016/j.artmed.2022.102458,tier2,europepmc
487,A social robot connected with chatGPT to improve cognitive functioning in ASD subjects,Francesca Bertacchini; Francesco Demarco; Carmelo Scuro; Pietro Pantano; Eleonora Bilotta,2023,Frontiers in Psychology,10.3389/fpsyg.2023.1232177,tier2,openalex
488,A systematic review: Virtual-reality-based techniques for human exercises and health improvement,Saba Ghazanfar Ali; Xiangning Wang; Ping Li; Younhyun Jung; Lei Bi et al.,2023,Frontiers in Public Health,10.3389/fpubh.2023.1143947,tier2,openalex
489,AGI for Agriculture,Guoyu Lu; Sheng Li; Gengchen Mai; Jin Sun; Dajiang Zhu et al.,2023,arXiv (Cornell University),10.48550/arxiv.2304.06136,tier1,openalex
490,AI Chatbots in Clinical Laboratory Medicine: Foundations and Trends,He S. Yang; Fei Wang; Matthew B. Greenblatt; Xiaolei Huang; Yi Zhang,2023,Clinical Chemistry,10.1093/clinchem/hvad106,tier1,openalex
491,"AI Dialog: Utilization, Challenges, and Ethics in the Age of Artificial Intelligence",Riya Widayanti; Tatik Mariyanti,2023,International Transactions on Artificial Intelligence (ITALIC),10.33050/italic.v2i1.401,tier1,openalex
492,AI for the Generation and Testing of Ideas Towards an AI Supported Knowledge Development Environment,Ted Selker,2023,arXiv (Cornell University),10.48550/arxiv.2307.08876,,openalex
493,AI healthcare applications beyond ChatGPT,José Darío Martínez‐Ezquerro,2023,,10.31219/osf.io/mez2a,tier1,openalex
494,AI in Medical Education: A Comparative Analysis of GPT-4 and GPT-3.5 on Turkish Medical Specialization Exam Performance,Mustafa Eray Kılıç,2023,,10.1101/2023.07.12.23292564,tier1,openalex
495,AI in Medical Research – Chatgpt and Beyond,Ahsin Manzoor Bhatti,2023,Pakistan Armed Forces Medical Journal,10.51253/pafmj.v73i4.10782,tier1,crossref
496,AI in Relationship Counselling: Evaluating ChatGPT’s Therapeutic Capabilities in Providing Relationship Advice,Laura M. Vowels; Rachel R. R. Francois‐Walcott; Joëlle Darwiche,2023,,10.31234/osf.io/3zajt,tier1,openalex
497,AI in Surgical Curriculum Design and Unintended Outcomes for Technical Competencies in Simulation Training.,Ali M Fazlollahi; Recai Yilmaz; Alexander Winkler-Schwartz; Nykan Mirchi; Nicole Ledwos et al.,2023,JAMA network open,10.1001/jamanetworkopen.2023.34658,tier2,pubmed
498,AI language models in human reproduction research: exploring ChatGPT’s potential to assist academic writing,Neli Semrl; Sarah Feigl; N Taumberger; T Bracic; Herbert Fluhr et al.,2023,Human Reproduction,10.1093/humrep/dead207,tier1,openalex
499,"AI numeracy performance in 2016 and 2021, by question difficulty",,2023,Educational research and innovation,10.1787/ec49abf8-en,tier1,openalex
500,AI-Enabled Electrocardiogram Analysis for Disease Diagnosis,Mohammad Mahbubur Rahman Khan Mamun; Tarek Elfouly,2023,Applied System Innovation,10.3390/asi6050095,tier1,openalex
501,"AI-Enabled Medical Education: Threads of Change, Promising Futures, and Risky Realities Across Four Potential Future Worlds",Michelle Knopp; Eric J. Warm; Danielle Weber; Matthew Kelleher; Benjamin Kinnear et al.,2023,JMIR Medical Education,10.2196/50373,tier3,openalex
502,AI-Generated Information for Vascular Patients: Assessing the Standard of Procedure-Specific Information Provided by the ChatGPT AI-Language Model,Omar Haidar; Alexander Jaques; Pierre William McCaughran; Matthew Metcalfe,2023,Cureus,10.7759/cureus.49764,tier1,openalex
503,AI-Powered Chatbots in Medical Education: Potential Applications and Implications,Nima S. Ghorashi; Ahmed Ismail; Pritha Ghosh; Anton N. Sidawy; Ramin Javan,2023,Cureus,10.7759/cureus.43271,tier1,openalex
504,AI-assisted ethics? considerations of AI simulation for the ethical assessment and design of assistive technologies,Silke Schicktanz; Johannes Welsch; Mark Schweda; Andreas Hein; Jochem W. Rieger et al.,2023,Frontiers in Genetics,10.3389/fgene.2023.1039839,tier3,openalex
505,ARTIFICIAL INTELLIGENCE IN THE EDUCATION OF HEALTH PROFESSIONS: A DESCRIPTIVE ANALYSIS THROUGH BIBLIOMETRICS,António Alves Lopes,2023,EDULEARN proceedings,10.21125/edulearn.2023.1077,tier3,openalex
506,Accuracy of ChatGPT on Medical Questions in the National Medical Licensing Examination in Japan: Evaluation Study,Yasutaka Yanagita; Daiki Yokokawa; Shun Uchida; Junsuke Tawara; Masatomi Ikusaka,2023,JMIR Formative Research,10.2196/48023,tier1,openalex
507,Accuracy of ChatGPT‐Generated Information on Head and Neck and Oromaxillofacial Surgery: A Multicenter Collaborative Analysis,Luigi Angelo Vaira; Jérôme R. Lechien; Vincenzo Abbate; Fabiana Allevi; Giovanni Audino et al.,2023,Otolaryngology,10.1002/ohn.489,tier3,openalex
508,"Accuracy, Reliability, and Comprehensibility of ChatGPT-Generated Medical Responses for Patients With Nonalcoholic Fatty Liver Disease",Nicola Pugliese; Vincent Wai‐Sun Wong; Jörn M. Schattenberg; Manuel Romero‐Gómez; Giada Sebastiani et al.,2023,Clinical Gastroenterology and Hepatology,10.1016/j.cgh.2023.08.033,tier1,openalex
509,Achieving Good Metabolic Control Without Weight Gain with the Systematic Use of GLP-1-RAs and SGLT-2 Inhibitors in Type 2 Diabetes: A Machine-learning Projection Using Data from Clinical Practice.,Carlo Bruno Giorda; Antonio Rossi; Fabio Baccetti; Rita Zilich; Francesco Romeo et al.,2023,Clinical therapeutics,10.1016/j.clinthera.2023.06.006,tier2,pubmed
510,Adapted Large Language Models Can Outperform Medical Experts in Clinical Text Summarization,Dave Van Veen; Cara Van Uden; Louis Blankemeier; Jean-Benoit Delbrouck; Asad Aali et al.,2023,arXiv (Cornell University),10.48550/arxiv.2309.07430,tier1,openalex
511,Adapting change management strategies for the AI Era: Lessons from large-scale IT integrations,M Martins,2023,World Journal of Advanced Research and Reviews,10.30574/wjarr.2023.19.3.1556,,openalex
512,Addressing the challenges of AI-based telemedicine: Best practices and lessons learned.,Sharma S; Rawal R; Shah D,2023,,10.4103/jehp.jehp_402_23,tier1,europepmc
513,Advanced Research in Pediatric Radiology and Nuclear Medicine,Curtise K. C. Ng,2023,,10.3390/books978-3-0365-7958-0,tier1,openalex
514,Advancements and Challenges in the Application of Artificial Intelligence in Surgical Arena: A Literature Review,Reda H Mithany; Samana Aslam; Shenouda Abdallah; Mark Abdelmaseeh; Farid Gerges et al.,2023,Cureus,10.7759/cureus.47924,tier2,openalex
515,"Advances in artificial intelligence, robotics, augmented and virtual reality in neurosurgery",Kimia Kazemzadeh; Meisam Akhlaghdoust; Alireza Zali,2023,Frontiers in Surgery,10.3389/fsurg.2023.1241923,tier2,openalex
516,Advances in deep learning: From diagnosis to treatment,Tianqi Huang; Longfei Ma; Boyu Zhang; Hongen Liao,2023,BioScience Trends,10.5582/bst.2023.01148,tier3,openalex
517,Advancing Healthcare Simulation Through Artificial Intelligence and Machine Learning: Exploring Innovations,Nicole Harder,2023,Clinical Simulation in Nursing,10.1016/j.ecns.2023.101456,tier2,openalex
518,Advantages and pitfalls in utilizing artificial intelligence for crafting medical examinations: a medical education pilot study with GPT-4,Eyal Klang; Shir Portugez; Raz Gross; Kassif Lerner R; Adi Brenner et al.,2023,BMC Medical Education,10.1186/s12909-023-04752-w,tier1,openalex
519,Alert to Action: Implementing Artificial Intelligence-Driven Clinical Decision Support Tools for Sepsis.,Fixler A; Oliaro B; Frieden M; Girardo C; Winterbottom FA et al.,2023,,10.31486/toj.22.0098,tier1,europepmc
520,All aboard the ChatGPT steamroller: Top 10 ways to make artificial intelligence work for healthcare professionals.,Lemuel R Non,2023,Antimicrobial stewardship & healthcare epidemiology : ASHE,10.1017/ash.2023.512,tier1,pubmed
521,Almanac: Retrieval-Augmented Language Models for Clinical Medicine,William Hiesinger; Cyril Zakka; Akash Chaurasia; Rohan Shad; Alex R. Dalal et al.,2023,,10.21203/rs.3.rs-2883198/v1,tier3,openalex
522,An AI Dietitian for Type 2 Diabetes Mellitus Management Based on Large Language and Image Recognition Models: Preclinical Concept Validation Study,Haonan Sun; Kai Zhang; Wei Lan; Qiufeng Gu; Guangxiang Jiang et al.,2023,Journal of Medical Internet Research,10.2196/51300,tier1,semantic_scholar
523,An Artificial Intelligence Training Workshop for Diagnostic Radiology Residents.,Hu R; Rizwan A; Hu Z; Li T; Chung AD et al.,2023,,10.1148/ryai.220170,tier1,europepmc
524,An Esthetic Approach for Rehabilitation of Long-Span Edentulous Arch Using Artificial Intelligence.,Kumari KS; K S A,2023,,10.7759/cureus.38683,tier2,europepmc
525,An Explainable EEG-Based Human Activity Recognition Model Using Machine-Learning Approach and LIME,Iqram Hussain; Rafsan Jany; Richard Boyer; AKM Azad; Salem A. Alyami et al.,2023,Sensors,10.3390/s23177452,tier2,openalex
526,An In-depth Investigation of User Response Simulation for Conversational Search,Zhenduo Wang; Zhichao Xu; Qingyao Ai; Vivek Srikumar,2023,arXiv (Cornell University),10.48550/arxiv.2304.07944,,openalex
527,An Interdisciplinary Approach and Advanced Techniques for Enhanced 3D-Printed Upper Limb Prosthetic Socket Design: A Literature Review,Kai Xu; Shengfeng Qin,2023,Actuators,10.3390/act12060223,tier2,openalex
528,An Interesting Conversation with ChatGPT about Acne Vulgaris,Shreya Deoghare,2023,Indian Dermatology Online Journal,10.4103/idoj.idoj_77_23,tier1,openalex
529,An Interview with ChatGPT on Emergency Remote Teaching: A Comparative Analysis Based on Human–AI Collaboration,Tijen Tülübaş; Murat Demirkol; Tuncay Yavuz Özdemir; Hakan Polat; Turgut Karaköse et al.,2023,Educational Process International Journal,10.22521/edupij.2023.122.6,tier3,openalex
