#,Title,Authors,Year,Journal,DOI,Tier,Citations,Open Access,Abstract
11,Can the ChatGPT and other large language models with internet-connected database solve the questions and concerns of patient with prostate cancer and help democratize medical knowledge?,Lingxuan Zhu; Weiming Mou; Rui Chen,2023,Journal of Translational Medicine,10.1186/s12967-023-04123-5,tier2,149,Yes,"Large language models (LLMs) represented by ChatGPT have shown promising potential in the field of medicine [1, 2]. However, it should be noted that the answers provided by ChatGPT may contain errors [3]. In addition, other companies have launched internet-connected LLMs that can access the latest data, potentially outperforming ChatGPT which was trained on pre-September 2021 data. Prostate cancer(PCa) is the second-most common type of cancer in men globally, with a relatively long survival time"
12,ChatGPT performance on scenario-based multiple-choice questions (MCQs) in medical physiology,Girish Prabhu; Rekha Prabhu,2023,,10.21203/rs.3.rs-3460822/v1,tier2,0,No,"Abstract Background and objective: With the rapid advancement of artificial intelligence, natural language processing models like ChatGPT have gained prominence in various educational domains. This study investigated the performance of ChatGPT in answering scenario-based multiple-choice questions (MCQs) within the intricate field of medical physiology. Materials and methods A comprehensive dataset of 50 scenario based MCQs covering cardiovascular system, respiratory system, Endocrinology, Renal "
13,Education and training evolution in urolithiasis: A perspective from European School of Urology,Vaki Antoniou; Vineet Gauhar; Panagiotis Kallidonis; Andreas Skolarikos; Domenico Veneziano et al.,2023,Asian journal of urology,10.1016/j.ajur.2023.01.004,tier2,7,Yes,"<h4>Objective</h4>With the worldwide increase in urolithiasis prevalence, the present study aimed to delineate and summarise recent evolutions in training for the management of urolithiasis.<h4>Methods</h4>A PubMed search using the key words ""simulation"", ""training"", ""ureteroscopy"", ""RIRS"", ""URS"", ""percutaneous nephrolithotomy"", ""PCNL"", ""virtual reality"", ""augmented reality"", ""artificial intelligence"", ""healthcare"", ""curriculum"", and ""assessment"" was used to examine how education and training in"
14,Evaluation of objective tools and artificial intelligence in robotic surgery technical skills assessment: a systematic review,Matthew Boal; Dimitrios Anastasiou; Freweini Tesfai; Walaa Ghamrawi; Evangelos B. Mazomenos et al.,2023,British journal of surgery,10.1093/bjs/znad331,tier2,61,Yes,"<h4>Background</h4>There is a need to standardize training in robotic surgery, including objective assessment for accreditation. This systematic review aimed to identify objective tools for technical skills assessment, providing evaluation statuses to guide research and inform implementation into training curricula.<h4>Methods</h4>A systematic literature search was conducted in accordance with the PRISMA guidelines. Ovid Embase/Medline, PubMed and Web of Science were searched. Inclusion criterio"
15,Expanding horizons and navigating challenges for enhanced clinical workflows: ChatGPT in urology.,Ali Talyshinskii; Nithesh Naik; B M Zeeshan Hameed; Ulanbek Zhanbyrbekuly; Gafur Khairli et al.,2023,Frontiers in surgery,10.3389/fsurg.2023.1257191,tier3,17,No,"<h4>Purpose of review</h4>ChatGPT has emerged as a potential tool for facilitating doctors' workflows. However, when it comes to applying these findings within a urological context, there have not been many studies. Thus, our objective was rooted in analyzing the pros and cons of ChatGPT use and how it can be exploited and used by urologists.<h4>Recent findings</h4>ChatGPT can facilitate clinical documentation and note-taking, patient communication and support, medical education, and research. I"
16,Exploring the Potential of Chatbots in Critical Care Nephrology,Supawadee Suppadungsuk; Charat Thongprayoon; Jing Miao; Pajaree Krisanapan; Fawad Qureshi et al.,2023,Medicines,10.3390/medicines10100058,tier3,34,Yes,"The exponential growth of artificial intelligence (AI) has allowed for its integration into multiple sectors, including, notably, healthcare. Chatbots have emerged as a pivotal resource for improving patient outcomes and assisting healthcare practitioners through various AI-based technologies. In critical care, kidney-related conditions play a significant role in determining patient outcomes. This article examines the potential for integrating chatbots into the workflows of critical care nephrol"
17,Grand challenges in colorectal and proctological surgery,Gaetano Gallo; Marta Goglia,2023,Frontiers in Surgery,10.3389/fsurg.2023.1331877,tier2,2,Yes,"""You must do the thing you think you cannot do."" -Eleanor Roosevelt.Colorectal surgery (CRS) and proctology represent a branch of general surgery that is becoming increasingly important and relevant. In recent decades, there have been so many innovations that have given coloproctological surgery an identity of its own. In recent years, innovations in major CRS have been revolutionizing healthcare and improving patient outcomes ranging from early diagnosis to the most modern treatment options.One"
18,Innovating Personalized Nephrology Care: Exploring the Potential Utilization of ChatGPT,Jing Miao; Charat Thongprayoon; Supawadee Suppadungsuk; Oscar A. Garcia Valencia; Fawad Qureshi et al.,2023,Journal of Personalized Medicine,10.3390/jpm13121681,tier3,27,Yes,"The rapid advancement of artificial intelligence (AI) technologies, particularly machine learning, has brought substantial progress to the field of nephrology, enabling significant improvements in the management of kidney diseases. ChatGPT, a revolutionary language model developed by OpenAI, is a versatile AI model designed to engage in meaningful and informative conversations. Its applications in healthcare have been notable, with demonstrated proficiency in various medical knowledge assessment"
19,Potential of AI-Driven Chatbots in Urology: Revolutionizing Patient Care Through Artificial Intelligence,Ali Talyshinskii; Nithesh Naik; B. M. Zeeshan Hameed; Patrick Juliebø‐Jones; Bhaskar Somani,2023,Current Urology Reports,10.1007/s11934-023-01184-3,tier2,59,Yes,"<h4>Purpose of review</h4>Artificial intelligence (AI) chatbots have emerged as a potential tool to transform urology by improving patient care and physician efficiency. With an emphasis on their potential advantages and drawbacks, this literature review offers a thorough assessment of the state of AI-driven chatbots in urology today.<h4>Recent findings</h4>The capacity of AI-driven chatbots in urology to give patients individualized and timely medical advice is one of its key advantages. Chatbo"
20,Surgical Frontiers: A Comparative Review of Robotics Versus Laparoscopy in Gynecological Interventions.,Patel N; Chaudhari K; Jyotsna G; Joshi JS,2023,,10.7759/cureus.49752,tier2,13,Yes,"This review comprehensively examines the current state and future directions of gynecological surgery, focusing on the comparative analysis of laparoscopy and robotic surgery. The overview highlights the evolution of these surgical techniques, emphasizing their impact on patient outcomes, procedural efficiency, and safety profiles. The analysis encompasses critical factors such as cost-effectiveness, learning curves, and implications for postoperative recovery. The future of gynecological surger"
21,"The role of ‘artificial intelligence, machine learning, virtual reality, and radiomics’ in PCNL: a review of publication trends over the last 30 years",Carlotta Nedbal; Clara Cerrato; Victoria Jahrreiss; Daniele Castellani; Amelia Pietropaolo et al.,2023,Therapeutic Advances in Urology,10.1177/17562872231196676,tier2,16,Yes,"<h4>Introduction</h4>We wanted to analyze the trend of publications in a period of 30 years from 1994 to 2023, on the application of 'artificial intelligence (AI), machine learning (ML), virtual reality (VR), and radiomics in percutaneous nephrolithotomy (PCNL)'. We conducted this study by looking at published papers associated with AI and PCNL procedures, including simulation training, with preoperative and intraoperative applications.<h4>Materials and methods</h4>Although MeSH terms research o"
22,"Trends of “Artificial Intelligence, Machine Learning, Virtual Reality, and Radiomics in Urolithiasis” over the Last 30 Years (1994–2023) as Published in the Literature (PubMed): A Comprehensive Review",Carlotta Nedbal; Clara Cerrato; Victoria Jahrreiss; Amelia Pietropaolo; Andrea Benedetto Galosi et al.,2023,Journal of Endourology,10.1089/end.2023.0263,tier3,16,Yes,"<b><i>Purpose:</i></b> To analyze the bibliometric publication trend on the application of ""Artificial Intelligence (AI) and its subsets (Machine Learning-ML, Virtual reality-VR, Radiomics) in Urolithiasis"" over 3 decades. We looked at the publication trends associated with AI and stone disease, including both clinical and surgical applications, and training in endourology. <b><i>Methods:</i></b> Through a MeshTerms research on PubMed, we performed a comprehensive review from 1994-2023 for all p"
23,Urology: a trip into metaverse,Gianmarco Randazzo; Giuseppe Reitano; Filippo Carletti; Massimo Iafrate; Giovanni Betto et al.,2023,World Journal of Urology,10.1007/s00345-023-04560-3,tier2,30,Yes,"<h4>Purpose</h4>Metaverse is becoming an alternative world in which technology and virtual experiences are mixed with real life, and it holds the promise of changing our way of living. Healthcare is already changing thanks to Metaverse and its numerous applications. In particular, Urology and urologic patients can benefit in many ways from Metaverse.<h4>Methods</h4>A non-systematic literature review identified recently published studies dealing with Metaverse. The database used for this review w"
24,(121) Utilizing ChatGPT for Urology Trainee Simulation of Peyronie’s Disease Counseling,Sunil Reddy; Shayan Smani; Stanton Honig; Bernd Harnisch; Katherine Rotker,2024,The Journal of Sexual Medicine,10.1093/jsxmed/qdae001.115,tier3,0,Yes,"Abstract Introduction Peyronie’s disease is a medical issue with significant psychological overtones. However, trainee exposure to initial counseling and management can be limited and therefore understanding both the disease state and its psychological effects can be difficult to master. Institutions have incorporated simulation-based education to augment resident skills and knowledge in topics such as transgender health and SICU patient management. The gold standard of assessing trainees in sim"
25,"Accuracy, readability, and understandability of large language models for prostate cancer information to the public",Jacob Hershenhouse; Daniel Mokhtar; Michael Eppler; Severin Rodler; Lorenzo Storino Ramacciotti et al.,2024,Prostate Cancer and Prostatic Diseases,10.1038/s41391-024-00826-y,tier3,62,Yes,"<h4>Background</h4>Generative Pretrained Model (GPT) chatbots have gained popularity since the public release of ChatGPT. Studies have evaluated the ability of different GPT models to provide information about medical conditions. To date, no study has assessed the quality of ChatGPT outputs to prostate cancer related questions from both the physician and public perspective while optimizing outputs for patient consumption.<h4>Methods</h4>Nine prostate cancer-related questions, identified through "
26,Artificial intelligence: revolutionizing robotic surgery: review,Muhammad Iftikhar; Muhammad Saqib; Muhammad Zareen; Hassan Mumtaz,2024,Annals of Medicine and Surgery,10.1097/ms9.0000000000002426,tier2,106,Yes,"Robotic surgery, known for its minimally invasive techniques and computer-controlled robotic arms, has revolutionized modern medicine by providing improved dexterity, visualization, and tremor reduction compared to traditional methods. The integration of artificial intelligence (AI) into robotic surgery has further advanced surgical precision, efficiency, and accessibility. This paper examines the current landscape of AI-driven robotic surgical systems, detailing their benefits, limitations, and"
27,Artificial intelligence’s current involvement in urology and future implementation in clinical environments,Yi Zhao; Eva Bolton; N. Soomro; B. Rai; Rakesh Heer,2024,Journal of Clinical Urology,10.1177/20514158241300242,tier2,1,No,"Artificial intelligence (AI) is a set of computational methods that interprets the data given, uncovers the underlying patterns associated with the complexity of data, and provides the prediction of outcomes that have become increasingly relevant in urology. The current application of AI in urology predominately focuses on disease diagnosis and risk factor analysis in urologic oncology and male infertility. While many candidate models have been proposed in the literature, efforts to construct cl"
28,Assessing state‐of‐the‐art online large language models for patient education regarding prostatitis,Pengfei Zhang; Hui Wang; Pengfei Li; Xianchun Fu; Hang Yuan et al.,2024,The Prostate,10.1002/pros.24746,tier3,0,Yes,"Prostatitis is a common urogenital condition, with chronic prostatitis/chronic pelvic pain syndrome (CP/CPPS) being the most prevalent type, affecting 2% to 15% of men. This disease is characterized by pelvic pain, prostate inflammation, urinary difficulties, and sexual dysfunction.1 Various factors, including infection, immunity, gut microflora, lifestyle, and psychological disorders, play a role in its development.2 In addition to acute and chronic prostatitis caused by bacterial pathogens, th"
29,Can artificial intelligence evaluate the quality of <scp>YouTube</scp> videos on erectile dysfunction?,Roei Golan; Aden Swayze; Zachary M. Connelly; Justin Loloi; Kevin J. Campbell et al.,2024,British Journal of Urology,10.1111/bju.16583,tier3,2,Yes,"Artificial intelligence (AI) refers to the capability of computer systems to carry out tasks that conventionally require human intelligence, such as visual perception and decision-making. Multiple AI platforms, including chatbots, utilise a combination of natural language processing (NLP) and machine learning techniques. While deep learning algorithms are often used in NLP to interpret vast amounts of text data, NLP encompasses a broader range of techniques beyond just deep learning [1]. Perhaps"
30,"Challenges in Contemporary Spine Surgery: A Comprehensive Review of Surgical, Technological, and Patient-Specific Issues",Emmanuel Mensah; Joshua I. Chalif; Jessica G. Baker; Eric Chalif; Jason Biundo et al.,2024,Journal of Clinical Medicine,10.3390/jcm13185460,tier3,25,Yes,"Spine surgery has significantly progressed due to innovations in surgical techniques, technology, and a deeper understanding of spinal pathology. However, numerous challenges persist, complicating successful outcomes. Anatomical intricacies at transitional junctions demand precise surgical expertise to avoid complications. Technical challenges, such as underestimation of the density of fixed vertebrae, individual vertebral characteristics, and the angle of pedicle inclination, pose additional ri"
31,"Comparison of the Accuracy, Completeness, Reproducibility, and Consistency of Different AI Chatbots in Providing Nutritional Advice: An Exploratory Study",Valentina Ponzo; Rosalba Rosato; Maria Carmine Scigliano; Martina Onida; Simona Cossai et al.,2024,Journal of Clinical Medicine,10.3390/jcm13247810,tier2,28,Yes,"<b>Background</b>: The use of artificial intelligence (AI) chatbots for obtaining healthcare advice is greatly increased in the general population. This study assessed the performance of general-purpose AI chatbots in giving nutritional advice for patients with obesity with or without multiple comorbidities. <b>Methods</b>: The case of a 35-year-old male with obesity without comorbidities (Case 1), and the case of a 65-year-old female with obesity, type 2 diabetes mellitus, sarcopenia, and chron"
32,"Comprehensive consent in urology using decision aids, leaflets, videos and newer technologies: empowering patient choice and shared decision-making",Carlotta Nedbal; Nithesh Naik; Niall F. Davis; Sanjeev Madaan; Theodoros Tokas et al.,2024,Therapeutic Advances in Urology,10.1177/17562872241301729,tier3,5,Yes,"In this paper, we explore the usage of decision aids, patient information leaflets (PILs), videos, social media and modern technology to empower patients and enable shared decision-making (SDM). It explores the role of enhanced consent processes in urology. A re-evaluation of the conventional consent process is required towards more patient-centred care and SDM, which prioritises patient education and understanding of their medical conditions and treatment pathways. The use of decision aids, suc"
33,Deep Learning Diffusion Parameters from Magnetic Resonance Imaging  An Odyssey of Deep Learning IVIM Parameter Estimation,"Kaandorp, Misha Pieter Thijs",2024,NTNU,10.1002/mrm.28852,tier2,0,Yes,"Cancer is a prominent cause of premature mortality worldwide and often preventable through early detection. Magnetic resonance imaging (MRI) is a vital modality in the investigation of many types of cancers, due to its strong sensitivity to soft tissue contrast. Beyond this capability, MRI can provide quantitative or parametric information about biophysical tissue properties and microstructural processes, including molecular diffusion and tissue perfusion. Utilizing appropriate mathematical mode"
34,Enhancing clinical decision‐making: Optimizing ChatGPT's performance in hypertension care,Jing Miao; Charat Thongprayoon; Tibor Fülöp; Wisit Cheungpasitporn,2024,Journal of Clinical Hypertension,10.1111/jch.14822,tier3,14,Yes,"Artificial intelligence (AI), especially conversational models like ChatGPT developed by OpenAI, has significantly impacted fields globally, including healthcare.1 ChatGPT, capable of mimicking human conversation based on vast training data and sophisticated natural language processing, has been featured in 2349 PubMed publications as of February 8, 2024, highlighting its growing relevance in medical research and practice.2 Its application in healthcare promises to revolutionize patient care, of"
35,"Exploring Large Language Models and the Metaverse for Urologic Applications: Potential, Challenges, and the Path Forward",Hyung Jun Park; Eun Joung Kim; Jungyoon Kim,2024,International Neurourology Journal,10.5213/inj.2448402.201,tier2,8,Yes,"The metaverse, a 3-dimensional digital platform that enables users to interact and engage in realistic virtual activities beyond time and space limitations, has garnered significant investment across industries, particularly in healthcare. In the medical field, the metaverse shows promise as a digital therapeutic platform to enhance interaction between medical professionals and patients. Concurrently, generative artificial intelligence, especially large language models, is being integrated into "
36,From Ancient Remedies to Robotic Precision: An Otolaryngology Journey.,Kumar S; Dutta A; Biradar K; Dwivedi S,2024,,10.1007/s12070-024-04955-7,tier2,0,No,"This review traces the historical development of otolaryngology, a medical specialty focused on diagnosing and treating ear, nose, and throat (ENT) disorders. The paper highlights key milestones and innovations shaping the field from ancient times to the modern era. The study involves a comprehensive review of historical texts and medical literature, examining advancements in otolaryngology. The analysis covers the early use of herbal remedies and rudimentary instruments, developments in surgica"
37,"Healthcare simulation—Past, Present, and Future",Abel Nicolau; Joana Berger‐Estilita; Willem L. van Meurs; Vítor Lopes; Marc Lazarovici et al.,2024,Porto Biomedical Journal,10.1097/j.pbj.0000000000000270,tier3,2,Yes,"In acute care settings, quick decision making and rapid execution are critical. Chesley Sullenberger's emergency landing of Flight 1549 in 2009, where he saved 155 lives,1 epitomizes this. Similar scenarios in medicine include the urgent need to choose between open and endovascular repair in an abdominal aortic aneurysm or between cardiopulmonary resuscitation (CPR) and cesarean delivery during obstetric cardiac arrest. Such high-stakes decision making underpins the evolution of health care simu"
38,How to incorporate generative artificial intelligence in nephrology fellowship education.,Jing Miao; Charat Thongprayoon; Iasmina M Craici; Wisit Cheungpasitporn,2024,Journal of nephrology,10.1007/s40620-024-02165-6,tier2,7,No,"Traditional nephrology education faces challenges due to expanding medical knowledge, case complexity, and personalized learning needs. Generative artificial intelligence (AI), like ChatGPT, offers potential solutions to enhance nephrology education through dynamic, adaptive, and personalized learning experiences. We discuss integrating generative AI into nephrology education at our institution, highlighting its importance and potential applications. It explores how AI can complement traditional"
39,Is ChatGPT ready for primetime? Performance of artificial intelligence on a simulated Canadian urology board exam.,Naji J Touma; Jessica Caterini; Kiera Liblk,2024,Canadian Urological Association journal = Journal de l'Association des urologues du Canada,10.5489/cuaj.8800,tier2,12,No,<h4>Introduction</h4>Generative artificial intelligence (AI) has proven to be a powerful tool with increasing applications in clinical care and medical education. ChatGPT has performed adequately on many specialty certification and knowledge assessment exams. The objective of this study was to assess the performance of ChatGPT 4 on a multiple-choice exam meant to simulate the Canadian urology board exam.<h4>Methods</h4>Graduating urology residents representing all Canadian training programs gath
40,M.D. meets machine: the symbiotic future of surgical learning,Paweł Łajczak; Julita Janiec; Krzysztof Żerdziński; Kamil Jóźwik; Przemysław Nowakowski et al.,2024,European surgery. Supplement/European surgery,10.1007/s10353-024-00840-3,tier2,3,Yes,"Summary Background The rapidly expanding field of robot-assisted surgery necessitates a parallel evolution in surgical education. A surgeon introduced to the telemanipulator control system can count on technological support that increases precision and supports decisions made during surgery. Generally, the surgeon (operator) is an integral part of the robot, so the synergy of this cooperation may bring the expected progress in access to high-quality services for many patients. Methods This revie"
41,MP07-06 EVALUATING THE EFFICACY OF ARTIFICIAL INTELLIGENCE IN PREDICTING OUTCOMES FOR PEDIATRIC HYDRONEPHROSIS: A SYSTEMATIC REVIEW,Ali Baydoun; Vishnu Sridhar; Kristin Ebert; Shannon Cannon; Walid A. Farhat,2024,The Journal of Urology,10.1097/01.ju.0001008728.41882.d7.06,tier2,0,No,"You have accessJournal of UrologySurgical Technology & Simulation: Artificial Intelligence I (MP07)1 May 2024MP07-06 EVALUATING THE EFFICACY OF ARTIFICIAL INTELLIGENCE IN PREDICTING OUTCOMES FOR PEDIATRIC HYDRONEPHROSIS: A SYSTEMATIC REVIEW Ali Baydoun, Vishnu Sridhar, Kristin Ebert, Shannon Cannon, and Walid Farhat Ali BaydounAli Baydoun , Vishnu SridharVishnu Sridhar , Kristin EbertKristin Ebert , Shannon CannonShannon Cannon , and Walid FarhatWalid Farhat View All Author Informationhttps://do"
42,MP07-14 DEVELOPMENT OF A GENERATIVE ARTIFICIAL INTELLIGENCE DATA PIPELINE TO AUTOMATE THE CAPTURE OF UNSTRUCTURED MRI DATA FOR PROSTATE CANCER CARE,Anobel Y. Odisho; Andrew W. Liu; William A. Pace; Robert Krumm; Janet E. Cowan et al.,2024,The Journal of Urology,10.1097/01.ju.0001008728.41882.d7.14,tier2,3,No,"You have accessJournal of UrologySurgical Technology & Simulation: Artificial Intelligence I (MP07)1 May 2024MP07-14 DEVELOPMENT OF A GENERATIVE ARTIFICIAL INTELLIGENCE DATA PIPELINE TO AUTOMATE THE CAPTURE OF UNSTRUCTURED MRI DATA FOR PROSTATE CANCER CARE Anobel Y. Odisho, Andrew W. Liu, William A. Pace, Robert Krumm, Janet E. Cowan, Peter R. Carroll, and Matthew R. Cooperberg Anobel Y. OdishoAnobel Y. Odisho , Andrew W. LiuAndrew W. Liu , William A. PaceWilliam A. Pace , Robert KrummRobert Kru"
43,Modification and Validation of the System Causability Scale Using AI-Based Therapeutic Recommendations for Urological Cancer Patients: A Basis for the Development of a Prospective Comparative Study,Emily Rinderknecht; Dominik von Winning; Anton Kravchuk; Christof Schäfer; Marco J. Schnabel et al.,2024,Current Oncology,10.3390/curroncol31110520,tier3,8,Yes,"The integration of artificial intelligence, particularly Large Language Models (LLMs), has the potential to significantly enhance therapeutic decision-making in clinical oncology. Initial studies across various disciplines have demonstrated that LLM-based treatment recommendations can rival those of multidisciplinary tumor boards (MTBs); however, such data are currently lacking for urological cancers. This preparatory study establishes a robust methodological foundation for the forthcoming CONCO"
44,PD36-12 ARTIFICIAL INTELLIGENCE AS A TIME-EFFICIENT AND QUALITY TOOL FOR CONTOURING IN PROSTATE CANCER DIAGNOSTICS,Puranjay Shori; Jong H. Kim; Robert I. Carey; Victoria Y. Bird,2024,The Journal of Urology,10.1097/01.ju.0001008916.72488.6a.12,tier2,1,No,"You have accessJournal of UrologySurgical Technology & Simulation: Artificial Intelligence III (PD36)1 May 2024PD36-12 ARTIFICIAL INTELLIGENCE AS A TIME-EFFICIENT AND QUALITY TOOL FOR CONTOURING IN PROSTATE CANCER DIAGNOSTICS Puranjay Shori, Jong H. Kim, Robert I. Carey, and Victoria Y. Bird Puranjay ShoriPuranjay Shori , Jong H. KimJong H. Kim , Robert I. CareyRobert I. Carey , and Victoria Y. BirdVictoria Y. Bird View All Author Informationhttps://doi.org/10.1097/01.JU.0001008916.72488.6a.12Ab"
45,Prediction and Detection of Terminal Diseases Using Internet of Medical Things: A Review,Akeem Temitope Otapo; Alice Othmani; Ghazaleh Khodabandelou; Zhenyu Ming,2024,arXiv (Cornell University),10.48550/arxiv.2410.00034,tier2,1,Yes,"The integration of Artificial Intelligence (AI) and the Internet of Medical Things (IoMT) in healthcare, through Machine Learning (ML) and Deep Learning (DL) techniques, has advanced the prediction and diagnosis of chronic diseases. AI-driven models such as XGBoost, Random Forest, CNNs, and LSTM RNNs have achieved over 98\% accuracy in predicting heart disease, chronic kidney disease (CKD), Alzheimer's disease, and lung cancer, using datasets from platforms like Kaggle, UCI, private institutions"
46,Surgical Artificial Intelligence in Urology: Educational Applications.,Mitchell G Goldenberg,2024,The Urologic clinics of North America,10.1016/j.ucl.2023.06.003,tier2,10,No,"Surgical education has seen immense change recently. Increased demand for iterative evaluation of trainees from medical school to independent practice has led to the generation of an overwhelming amount of data related to an individual's competency. Artificial intelligence has been proposed as a solution to automate and standardize the ability of stakeholders to assess the technical and nontechnical abilities of a surgical trainee. In both the simulation and clinical environments, evidence suppo"
47,The Digital Shift: Assessing ChatGPT’s Capability as a New Age Standardized Patient. (Preprint),Joseph Cross; Tarron Kayalackakom; Raymond Robinson; Andrea Vaughans; Roopa Sebastian et al.,2024,,10.2196/preprints.63353,tier3,0,Yes,"<sec> <title>BACKGROUND</title> Standardized patients (SPs) have been crucial in medical education, offering realistic patient interactions to students. Despite their benefits, SP training is resource-intensive, and access can be limited. Advances in artificial intelligence, particularly with large language models like ChatGPT, present new opportunities for virtual SPs, potentially addressing these limitations. </sec> <sec> <title>OBJECTIVE</title> To assess medical students' perceptions and exp"
